"Symbol","Name","LastSale","MarketCap","IPOyear","Sector","industry","Summary Quote",
"PLCE","Children&#39;s Place, Inc. (The)","92.15","$1.43B","1997","Consumer Services","Clothing/Shoe/Accessory Stores","https://www.nasdaq.com/symbol/plce",
"CMRX","Chimerix, Inc.","2.11","$129.28M","2013","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/cmrx",
"CAAS","China Automotive Systems, Inc.","2","$63M","n/a","Capital Goods","Auto Parts:O.E.M.","https://www.nasdaq.com/symbol/caas",
"CBPO","China Biologic Products Holdings, Inc.","100","$3.83B","n/a","Health Care","Biotechnology: Biological Products (No Diagnostic Substances)","https://www.nasdaq.com/symbol/cbpo",
"CCCL","China Ceramics Co., Ltd.","0.8836","$5.31M","n/a","Capital Goods","Building Materials","https://www.nasdaq.com/symbol/cccl",
"CCRC","China Customer Relations Centers, Inc.","9.2867","$170.22M","2015","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/ccrc",
"JRJC","China Finance Online Co. Limited","0.7754","$18.31M","2004","Finance","Investment Bankers/Brokers/Service","https://www.nasdaq.com/symbol/jrjc",
"HGSH","China HGS Real Estate, Inc.","0.79","$35.59M","n/a","Finance","Real Estate","https://www.nasdaq.com/symbol/hgsh",
"CIH","China Index Holdings Limited","3.54","$316.47M","n/a","Technology","EDP Services","https://www.nasdaq.com/symbol/cih",
"CIFS","China Internet Nationwide Financial Services Inc.","2.025","$44.78M","2017","Consumer Services","Professional Services","https://www.nasdaq.com/symbol/cifs",
"CJJD","China Jo-Jo Drugstores, Inc.","1.15","$37.88M","n/a","Health Care","Medical/Nursing Services","https://www.nasdaq.com/symbol/cjjd",
"CHNR","China Natural Resources, Inc.","1.96","$48.83M","n/a","Basic Industries","Precious Metals","https://www.nasdaq.com/symbol/chnr",
"CREG","China Recycling Energy Corporation","0.42","$6.76M","n/a","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/creg",
"SXTC","China SXT Pharmaceuticals, Inc.","2.27","$61.08M","2019","Health Care","Major Pharmaceuticals","https://www.nasdaq.com/symbol/sxtc",
"CNTF","China TechFaith Wireless Communication Technology Limited","0.45","$4.76M","2005","Miscellaneous","Business Services","https://www.nasdaq.com/symbol/cntf",
"CXDC","China XD Plastics Company Limited","2.07","$105.46M","n/a","Capital Goods","Containers/Packaging","https://www.nasdaq.com/symbol/cxdc",
"PLIN","China Xiangtai Food Co., Ltd.","4.6","$109.44M","2019","Consumer Non-Durables","Meat/Poultry/Fish","https://www.nasdaq.com/symbol/plin",
"CNET","ChinaNet Online Holdings, Inc.","1.33","$21.83M","n/a","Technology","Computer Software: Programming, Data Processing","https://www.nasdaq.com/symbol/cnet",
"IMOS","ChipMOS TECHNOLOGIES INC.","20.66","$751.24M","n/a","Technology","Semiconductors","https://www.nasdaq.com/symbol/imos",
"CDXC","ChromaDex Corporation","4.08","$243.03M","n/a","Consumer Durables","Specialty Chemicals","https://www.nasdaq.com/symbol/cdxc",
"CHSCL","CHS Inc","27.66","$572.56M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscl",
"CHSCM","CHS Inc","26.3","$499.7M","n/a","Consumer Services","Farming/Seeds/Milling","https://www.nasdaq.com/symbol/chscm",
